price , bedrooms , zipcode , city , building_type
$3500 , 2br , 94070 , SAN CARLOS , house 
$3800 , 3br , 94070 , SAN CARLOS , house 
$5000 , 3br , 94070 , SAN CARLOS , house 
$9950 , 5br , 94070 , SAN CARLOS , house 
$5300 , 3br , 94070 , SAN CARLOS , house 
$6600 , 4br , 94070 , SAN CARLOS , house 
$5200 , 3br , 94070 , SAN CARLOS , house 
$5800 , 3br , 94070 , SAN CARLOS , house 
$3495 , 2br , 94964 , SAN QUENTIN , house 
$2995 , 1br , 94010 , BURLINGAME , house 
$12 , 6br , 94010 , BURLINGAME , house 
$12000 , 6br , 94010 , BURLINGAME , house 
$5800 , 3br , 94010 , BURLINGAME , house 
$4250 , 2br , 94010 , BURLINGAME , house 
$12500 , 3br , 94010 , BURLINGAME , house 
$12500 , 3br , 94010 , BURLINGAME , house 
$12500 , 3br , 94010 , BURLINGAME , house 
$12500 , 3br , 94010 , BURLINGAME , house 
$4800 , 4br , 94010 , BURLINGAME , house 
$7500 , 4br , 94010 , BURLINGAME , house 
$12500 , 3br , 94010 , BURLINGAME , house 
$12500 , 3br , 94010 , BURLINGAME , house 
$4400 , 2br , 94010 , BURLINGAME , house 
$13800 , 6br , 94010 , BURLINGAME , house 
$13800 , 6br , 94010 , BURLINGAME , house 
$4450 , 3br , 94010 , BURLINGAME , house 
$5599 , 3br , 94010 , BURLINGAME , house 
$5900 , 3br , 94010 , BURLINGAME , house 
$10000 , 3br , 94010 , BURLINGAME , house 
$6500 , 4br , 94010 , BURLINGAME , house 
$6000 , 4br , 94010 , BURLINGAME , house 
$12500 , 3br , 94010 , BURLINGAME , house 
$6800 , 5br , 94010 , BURLINGAME , house 
$10000 , 6br , 94010 , BURLINGAME , house 
$5695 , 3br , 94563 , ORINDA , house 
$4200 , 3br , 94563 , ORINDA , house 
$4450 , 2br , 94563 , ORINDA , house 
$9000 , 4br , 94563 , ORINDA , house 
$5500 , 2br , 94563 , ORINDA , house 
$2350 , 2br , 94541 , HAYWARD , house 
$2550 , 2br , 94541 , HAYWARD , house 
$2350 , 2br , 94541 , HAYWARD , house 
$3250 , 3br , 94541 , HAYWARD , house 
$2350 , 2br , 94541 , HAYWARD , house 
$3295 , 4br , 94541 , HAYWARD , house 
$2750 , 3br , 94541 , HAYWARD , house 
$3295 , 4br , 94541 , HAYWARD , house 
$2700 , 3br , 94541 , HAYWARD , house 
$4300 , 4br , 94541 , HAYWARD , house 
$2350 , 2br , 94541 , HAYWARD , house 
$3295 , 4br , 94541 , HAYWARD , house 
$2700 , 3br , 94541 , HAYWARD , house 
$2700 , 3br , 94541 , HAYWARD , house 
$4200 , 4br , 94541 , HAYWARD , house 
$4200 , 4br , 94541 , HAYWARD , house 
$3295 , 4br , 94541 , HAYWARD , house 
$3295 , 4br , 94541 , HAYWARD , house 
$3200 , 4br , 94541 , HAYWARD , house 
$2300 , 2br , 94541 , HAYWARD , house 
$1300 , 1br , 94542 , HAYWARD , house 
$2800 , 4br , 94542 , HAYWARD , house 
$4500 , 6br , 94542 , HAYWARD , house 
$3390 , 3br , 94542 , HAYWARD , house 
$3390 , 3br , 94542 , HAYWARD , house 
$3500 , 4br , 94542 , HAYWARD , house 
$1000 , 1br , 94542 , HAYWARD , house 
$3500 , 4br , 94542 , HAYWARD , house 
$1800 , 4br , 94544 , HAYWARD , house 
$2000 , 3br , 94544 , HAYWARD , house 
$2000 , 3br , 94544 , HAYWARD , house 
$2000 , 3br , 94544 , HAYWARD , house 
$2000 , 3br , 94544 , HAYWARD , house 
$2000 , 3br , 94544 , HAYWARD , house 
$2675 , 3br , 94544 , HAYWARD , house 
$2975 , 3br , 94544 , HAYWARD , house 
$3400 , 3br , 94544 , HAYWARD , house 
$3200 , 3br , 94544 , HAYWARD , house 
$2450 , 3br , 94544 , HAYWARD , house 
$2700 , 3br , 94544 , HAYWARD , house 
$3400 , 4br , 94544 , HAYWARD , house 
$3100 , 3br , 94544 , HAYWARD , house 
$2700 , 3br , 94544 , HAYWARD , house 
$3100 , 3br , 94544 , HAYWARD , house 
$2600 , 3br , 94544 , HAYWARD , house 
$3500 , 4br , 94545 , HAYWARD , house 
$3500 , 4br , 94545 , HAYWARD , house 
$2850 , 3br , 94545 , HAYWARD , house 
$2850 , 3br , 94545 , HAYWARD , house 
$2850 , 3br , 94545 , HAYWARD , house 
$4200 , 5br , 94545 , HAYWARD , house 
$3200 , 3br , 94545 , HAYWARD , house 
$3200 , 3br , 94545 , HAYWARD , house 
$3200 , 3br , 94545 , HAYWARD , house 
$3200 , 3br , 94545 , HAYWARD , house 
$3200 , 3br , 94545 , HAYWARD , house 
$3200 , 3br , 94545 , HAYWARD , house 
$3200 , 3br , 94545 , HAYWARD , house 
$3100 , 3br , 94545 , HAYWARD , house 
$3250 , 3br , 95035 , MILPITAS , house 
$3300 , 3br , 95035 , MILPITAS , house 
$3300 , 3br , 95035 , MILPITAS , house 
$3200 , 3br , 95035 , MILPITAS , house 
$5750 , 3br , 95035 , MILPITAS , house 
$3100 , 2br , 95035 , MILPITAS , house 
$3695 , 3br , 95035 , MILPITAS , house 
$3695 , 3br , 95035 , MILPITAS , house 
$3695 , 3br , 95035 , MILPITAS , house 
$3695 , 3br , 95035 , MILPITAS , house 
$3950 , 4br , 95035 , MILPITAS , house 
$1700 , 2br , 95035 , MILPITAS , house 
$3200 , 3br , 95035 , MILPITAS , house 
$3300 , 3br , 95035 , MILPITAS , house 
$2900 , 4br , 95035 , MILPITAS , house 
$2800 , 3br , 95035 , MILPITAS , house 
$3250 , 4br , 95035 , MILPITAS , house 
$3100 , 3br , 95035 , MILPITAS , house 
$3400 , 4br , 95035 , MILPITAS , house 
$3500 , 4br , 95035 , MILPITAS , house 
$3795 , 4br , 95035 , MILPITAS , house 
$3950 , 4br , 95035 , MILPITAS , house 
$2999 , 3br , 95035 , MILPITAS , house 
$3150 , 3br , 95035 , MILPITAS , house 
$7900 , 2br , 94028 , PORTOLA VALLEY , house 
$5495 , 4br , 94028 , PORTOLA VALLEY , house 
$12800 , 5br , 94028 , PORTOLA VALLEY , house 
$8300 , 3br , 94028 , PORTOLA VALLEY , house 
$2650 , 1br , 94028 , PORTOLA VALLEY , house 
$19000 , 5br , 94028 , PORTOLA VALLEY , house 
$3650 , 4br , 94560 , NEWARK , house 
$3750 , 4br , 94560 , NEWARK , house 
$3200 , 4br , 94560 , NEWARK , house 
$3800 , 4br , 94560 , NEWARK , house 
$4100 , 4br , 94560 , NEWARK , house 
$3200 , 3br , 94560 , NEWARK , house 
$3950 , 4br , 94560 , NEWARK , house 
$4500 , 4br , 94560 , NEWARK , house 
$3265 , 4br , 94560 , NEWARK , house 
$3000 , 3br , 94560 , NEWARK , house 
$2650 , 2br , 94560 , NEWARK , house 
$2750 , 3br , 94560 , NEWARK , house 
$2900 , 3br , 94560 , NEWARK , house 
$2600 , 2br , 94558 , NAPA , house 
$2500 , 2br , 94558 , NAPA , house 
$4500 , 3br , 94558 , NAPA , house 
$3200 , 3br , 94558 , NAPA , house 
$3100 , 5br , 94558 , NAPA , house 
$2300 , 2br , 94558 , NAPA , house 
$4400 , 4br , 94558 , NAPA , house 
$3600 , 4br , 94558 , NAPA , house 
$2000 , 2br , 94558 , NAPA , house 
$2650 , 3br , 94558 , NAPA , house 
